Benchmark, Stat, Platform, Run#, Value
porter,L1 D-Cache Store Misses,pc,3,31467
porter,L1 D-Cache Store Misses,pc,4,20509
porter,L1 D-Cache Store Misses,pc,5,43281
porter,L1 D-Cache Store Misses,pc,6,35006
porter,L1 D-Cache Store Misses,pc,7,20130
porter,L1 D-Cache Store Misses,pc,8,32831
porter,L1 D-Cache Store Misses,pc,9,34819
porter,L1 D-Cache Store Misses,pc,0,32672
porter,Stalled cycles,pc,1,15973339
porter,Stalled cycles,pc,2,11953663
porter,Stalled cycles,pc,3,20150501
porter,Stalled cycles,pc,4,12927800
porter,Stalled cycles,pc,5,11790316
porter,Stalled cycles,pc,6,27145142
porter,Stalled cycles,pc,7,10444914
porter,Stalled cycles,pc,8,12267438
porter,Stalled cycles,pc,9,25270427
porter,Stalled cycles,pc,0,12185389
