Benchmark, Stat, Platform, Run#, Value
porter,D-Cache Miss rate,pc,1,33.722
porter,D-Cache Miss rate,pc,2,19.746
porter,D-Cache Miss rate,pc,3,33.511
porter,D-Cache Miss rate,pc,4,19.388
porter,D-Cache Miss rate,pc,5,20.661
porter,D-Cache Miss rate,pc,6,17.371
porter,D-Cache Miss rate,pc,7,25.357
porter,D-Cache Miss rate,pc,8,17.696
porter,D-Cache Miss rate,pc,9,28.685
porter,D-Cache Miss rate,pc,0,16.932
porter,Runtime,pc,1,0.017072986
porter,Runtime,pc,2,0.014993294
porter,Runtime,pc,3,0.013413917
porter,Runtime,pc,4,0.016301934
porter,Runtime,pc,5,0.016978892
porter,Runtime,pc,6,0.014861072
porter,Runtime,pc,7,0.014465062
porter,Runtime,pc,8,0.017103782
porter,Runtime,pc,9,0.016952389
porter,Runtime,pc,0,0.015430415
